Date,Open,High,Low,Close,Adj Close,Volume
19890821,216.720001,217.240005,214.134995,214.184998,214.184998,217240000
19890822,214.184998,215.399994,213.335007,215.384995,215.384995,238060000
19890823,215.384995,217.830002,215.375000,217.490005,217.490005,279380000
19890824,217.490005,220.559998,217.490005,220.395004,220.395004,289620000
19890825,220.395004,221.419998,220.080002,220.820007,220.820007,253460000
19890828,220.820007,221.509995,219.520004,221.460007,221.460007,200480000
19890829,221.460007,222.095001,219.729996,220.300003,220.300003,257220000
19890830,220.300003,221.914993,220.300003,221.399994,221.399994,243400000
19890831,221.399994,222.149994,221.380005,222.005005,222.005005,235520000
19890901,222.005005,223.945007,222.005005,223.514999,223.514999,226920000
19890905,223.514999,224.875000,223.490005,223.580002,223.580002,242280000
19890906,223.580002,223.580002,220.330002,221.669998,221.669998,272860000
19890907,221.669998,223.065002,221.080002,221.199997,221.199997,268000000
19890908,221.199997,222.914993,219.794998,222.654999,222.654999,260120000
19890911,222.654999,223.710007,221.830002,222.960007,222.960007,226980000
19890912,222.960007,224.929993,222.960007,224.324997,224.324997,302120000
19890913,224.324997,227.324997,224.324997,224.615005,224.615005,319880000
19890914,224.615005,224.785004,222.389999,222.410004,222.410004,284060000
19890915,222.410004,223.914993,221.389999,221.960007,221.960007,261840000
19890918,221.960007,222.009995,220.615005,221.750000,221.750000,210100000
19890919,221.750000,222.684998,221.464996,221.934998,221.934998,273420000
19890920,221.934998,222.764999,221.404999,222.304993,222.304993,274100000
19890921,222.304993,224.434998,222.175003,222.654999,222.654999,277240000
19890922,222.654999,224.210007,222.240005,223.889999,223.889999,297780000
19890925,223.889999,224.979996,223.125000,223.889999,223.889999,216180000
19890926,223.889999,224.774994,223.440002,223.869995,223.869995,246760000
19890927,223.869995,223.869995,220.975006,223.804993,223.804993,246360000
19890928,223.804993,226.250000,223.804993,226.250000,226.250000,266260000
19890929,226.250000,227.634995,225.804993,226.389999,226.389999,272760000
19891002,226.414993,228.115005,225.639999,228.110001,228.110001,217900000
19891003,228.110001,229.039993,227.845001,228.735001,228.735001,302400000
19891004,228.735001,231.375000,228.735001,230.899994,230.899994,328720000
